claim_id,statement,classification,source,source_date,source_owner,geography,lane,confidence,status,validation_owner,next_action,last_reviewed
CLM-001,"Diallo has relationships with government and mining companies in Mauritania",REPORTED,"Major editorial statement",2026-09-03,"Major Dream Williams",Mauritania,Automotive,medium,open,Diallo,"Name relationships and produce evidence of access",2026-09-03
CLM-002,"Brother Ling has approached Chinese suppliers",REPORTED,"Major statement",2026-09-03,"Major Dream Williams",China,Automotive,medium,active,"Major / Brother Ling","Record supplier names and response authority",2026-09-03
CLM-003,"Mauritania requires importer registration",VERIFIED,"U.S. ITA Mauritania Customs Regulations",2026-02-10,"International Trade Administration",Mauritania,Automotive,high,active,Diallo,"Confirm applicable local entity and current procedure with customs professional",2026-09-03
CLM-004,"Special customs valuation rules may apply to used cars",VERIFIED,"U.S. ITA Mauritania Customs Regulations",2026-02-10,"International Trade Administration",Mauritania,Automotive,high,active,Diallo,"Obtain written current used-vehicle valuation procedure",2026-09-03
CLM-005,"A preorder model can reduce inventory exposure",ASSUMPTION,"Program analysis",2026-09-03,"Program team",Mauritania,Automotive,medium,testing,Diallo,"Validate customer trust, deposit, delivery, and refund requirements",2026-09-03
CLM-006,"Affluent early adopters will pay for distinctive Chinese SUVs",ASSUMPTION,"Major market hypothesis",2026-09-03,"Major Dream Williams",Mauritania,Automotive,low,testing,Diallo,"Conduct 25 buyer interviews and obtain qualified interest",2026-09-03

CLM-007,"Mauritania removed the vehicle import age limit in October 2017, replacing it with flat duty scales by horsepower for vehicles over 8 years old",VERIFIED,"Chez Vlane / Cridem, 'Les voitures importees: toutes sont desormais les bienvenues en Mauritanie'",2017-10-04,Ministry of Finance (reported),Mauritania,Automotive,medium,open,Diallo,Confirm the regime is still current in 2026 and obtain the schedule in MRU (post-2018 redenomination),2026-09-06
CLM-008,Mauritania previously limited imports to 5 years (passenger) and 8 years (other vehicles) from July 2014,VERIFIED,Financial Afrik,2014-07-18,Financial Afrik,Mauritania,Automotive,high,superseded,Diallo,Historical record only; superseded by CLM-007,2026-09-06
CLM-009,Senegal raised imported used-vehicle age limits to 10 years (cars and LCV under 3.5t) and 15 years (trucks and passenger transport) by decree,VERIFIED,"Le Soleil, decree signed by President Bassirou Diomaye Faye",2025-10-24,Government of Senegal,Senegal,Automotive,high,active,Program team,Obtain the decree text from the Journal Officiel and reconcile with the reported 6/8-year registration rule,2026-09-06
CLM-010,"Mauritania VAT is 16 percent, applied on CIF plus duty",VERIFIED,Mauritania Trade Portal; WTO TPR WT/TPR/S/371,2018-04-24,WTO / Mauritania Trade Portal,Mauritania,Automotive,high,active,Diallo,Confirm with a licensed customs broker for vehicle HS lines,2026-09-06
CLM-011,"Mauritania customs tariff has four MFN bands (0, 5, 13, 20 percent); the 20 percent band covers about 39 percent of lines, mainly final consumer goods",VERIFIED,WTO Trade Policy Review WT/TPR/S/371,2018-04-24,WTO,Mauritania,Automotive,high,active,Diallo,Confirm the band applicable to HS 8703 and 8704,2026-09-06
CLM-012,Mauritania statistical fee is reported at both 1 percent and 3 percent by different sources,CONFLICT,Mauritania Trade Portal (1%) vs Lloyds Bank Trade (3%),2026-09-06,Program team,Mauritania,Automotive,low,open,Diallo,Resolve via written customs-broker opinion before any landed-cost figure is used externally,2026-09-06
CLM-013,Mauritania minimum flat-rate tax (IMF) is reported at 2.5 percent of CIF on imports and at 2 percent in an export context,CONFLICT,Mauritania Trade Portal vs WTO TPR,2026-09-06,Program team,Mauritania,Automotive,low,open,Diallo,Resolve via written customs-broker opinion,2026-09-06
CLM-014,Mauritania values used vehicles on a minimum importation value rather than transaction value,VERIFIED,Lloyds Bank Trade; US ITA reports Argus-based minimums,2026-09-06,Lloyds Bank Trade / ITA,Mauritania,Automotive,high,active,Diallo,Obtain the current administrative minimum-value schedule,2026-09-06
CLM-015,"Senegal vehicle parts imports (HS 8708) were USD 38.6 million in 2024, up from USD 28.1 million in 2022, with China the largest source at 18 percent",VERIFIED,"Firmus Advisory, Senegal Spare Parts Market",2025-01-01,Firmus Advisory,Senegal,Automotive,medium,active,Program team,Cross-check against UN Comtrade,2026-09-06
CLM-016,"Senegal parts distribution is highly fragmented: over 2,000 active importers, no firm above 10 percent share, CFAO largest formal distributor at about 7 percent",VERIFIED,Firmus Advisory,2025-01-01,Firmus Advisory,Senegal,Automotive,medium,active,Program team,Use to size the parts entry opportunity,2026-09-06
CLM-017,About 80 percent of Senegal vehicle imports are pre-owned and about 80 percent of registered vehicles are ten years or older,VERIFIED,Firmus Advisory,2025-01-01,Firmus Advisory,Senegal,Automotive,medium,active,Program team,Supports the service-layer thesis over the new-vehicle thesis,2026-09-06
CLM-018,"Across 29 African countries, 75 percent of car purchases are used, and next-purchase intent favours hybrid (34 percent) over petrol (27 percent) and EV (12 percent)",VERIFIED,Sagaci Research survey,2025-12-01,Sagaci Research,Africa,Automotive,medium,active,Program team,Confirm whether Mauritania is in the country sample,2026-09-06
